구분,보험사,파일명,웹용 PNG,원본,공식 확인 URL,수집·검증 메모
생명보험,한화생명,hanwha_life,web/hanwha_life.png,originals/hanwha_life.ico,https://company.hanwhalife.com/ko/about/brand/ci,공식 홈페이지 파비콘; 공식 CI 페이지 대조
생명보험,교보생명,kyobo_life,web/kyobo_life.png,originals/kyobo_life.ico,https://www.kyobo.com/,공식 홈페이지 파비콘
생명보험,동양생명,tongyang_life,web/tongyang_life.png,originals/tongyang_life.png,https://apps.apple.com/kr/app/id6743102604,공식 App Store 앱 아이콘
생명보험,라이나생명,lina_life,web/lina_life.png,originals/lina_life.bmp,https://www.lina.co.kr/,공식 홈페이지 파비콘
생명보험,MetLife,metlife,web/metlife.png,originals/metlife.ico,https://www.metlife.co.kr/,공식 홈페이지 파비콘
생명보험,미래에셋생명,miraeasset_life,web/miraeasset_life.png,originals/miraeasset_life.png,https://apps.apple.com/kr/app/id689949261,공식 App Store 앱 아이콘
생명보험,삼성생명,samsung_life,web/samsung_life.png,originals/samsung_life.ico,https://www.samsunglife.com/,공식 홈페이지 파비콘
생명보험,신한라이프,shinhan_life,web/shinhan_life.png,originals/shinhan_life.png,https://www.shinhanlife.co.kr/,공식 홈페이지 앱 아이콘
생명보험,흥국생명,heungkuk_life,web/heungkuk_life.png,originals/heungkuk_life.ico,https://www.heungkuklife.co.kr/,공식 홈페이지 파비콘
생명보험,ABL생명,abl_life,web/abl_life.png,originals/abl_life.png,https://www.abllife.co.kr/,공식 홈페이지 앱 아이콘
생명보험,DB생명,db_life,web/db_life.png,originals/db_life.ico,https://www.idblife.com/,DB 공식 심벌 파비콘; DB생명 사이트 대조
생명보험,IBK연금보험,ibk_pension,web/ibk_pension.png,originals/ibk_pension.ico,https://www.ibki.co.kr/,공식 홈페이지 파비콘
생명보험,KB라이프생명,kb_life,web/kb_life.png,originals/kb_life.ico,https://www.kblife.co.kr/,공식 홈페이지 파비콘
생명보험,KDB생명,kdb_life,web/kdb_life.png,originals/kdb_life.png,https://www.kdblife.co.kr/,공식 홈페이지 파비콘
생명보험,NH농협생명,nh_life,web/nh_life.png,originals/nh_life.png,https://apps.apple.com/kr/app/id731207448,공식 App Store 앱 아이콘; 공식 CI 페이지 대조
생명보험,BNP파리바 카디프생명,bnp_cardif_life,web/bnp_cardif_life.png,originals/bnp_cardif_life.ico,https://www.cardif.co.kr/,공식 홈페이지 파비콘
손해보험,한화손해보험,hanwha_general,web/hanwha_general.png,originals/hanwha_general.ico,https://www.hwgeneralins.com/,공식 홈페이지 파비콘
손해보험,롯데손해보험,lotte_insurance,web/lotte_insurance.png,originals/lotte_insurance.png,https://apps.apple.com/kr/app/id1329492205,공식 App Store 앱 아이콘; 공식 브랜드센터 대조
손해보험,메리츠화재,meritz_fire,web/meritz_fire.png,originals/meritz_fire.ico,https://www.meritzfire.com/,공식 홈페이지 파비콘
손해보험,삼성화재,samsung_fire,web/samsung_fire.png,originals/samsung_fire.png,https://apps.apple.com/kr/app/id390413333,공식 App Store 앱 아이콘; 공식 브랜드 페이지 대조
손해보험,현대해상,hyundai_marine,web/hyundai_marine.png,originals/hyundai_marine.png,https://www.hi.co.kr/,공식 홈페이지 파비콘
손해보험,흥국화재,heungkuk_fire,web/heungkuk_fire.png,originals/heungkuk_fire.ico,https://www.heungkukfire.co.kr/,공식 홈페이지 파비콘
손해보험,DB손해보험,db_insurance,web/db_insurance.png,originals/db_insurance.ico,https://www.idbins.com/pc/bizxpress/cmy/pr/FWCOMV1693.shtm,공식 홈페이지 파비콘; 공식 CI 페이지 대조
손해보험,하나손해보험,hana_insurance,web/hana_insurance.png,originals/hana_insurance.ico,https://www.hanainsure.co.kr/,공식 홈페이지 파비콘
손해보험,AIG손해보험,aig_insurance,web/aig_insurance.png,originals/aig_insurance.ico,https://www.aig.co.kr/,공식 홈페이지 파비콘
손해보험,MG손해보험,mg_insurance,web/mg_insurance.png,originals/mg_insurance.jpg,https://www.mggeneralins.com/,공식 홈페이지에서 배포된 CI의 보존 사본; 현재 예별손해보험 관리
손해보험,KB손해보험,kb_insurance,web/kb_insurance.png,originals/kb_insurance.ico,https://www.kbinsure.co.kr/CU603010001.ec,공식 영업 포털 파비콘; 공식 CI 페이지 대조
